"","Survey_ID","State","Year","Duration","Waterbody_Unique_Name","WB_ID","Effort_Hours"
"42","AK_1077_2017_A","Alaska","2017","365","Akwe River (AK_Yak)","AK_1077",""
"43","AK_1077_2018_A","Alaska","2018","365","Akwe River (AK_Yak)","AK_1077",""
"44","AK_1116_1996_A","Alaska","1996","366","Alaganik Slough (AK_Val)","AK_1116",""
"45","AK_1116_1997_A","Alaska","1997","365","Alaganik Slough (AK_Val)","AK_1116",""
"46","AK_1116_1998_A","Alaska","1998","365","Alaganik Slough (AK_Val)","AK_1116",""
"47","AK_1116_1999_A","Alaska","1999","365","Alaganik Slough (AK_Val)","AK_1116",""
"48","AK_1116_2000_A","Alaska","2000","366","Alaganik Slough (AK_Val)","AK_1116",""
"49","AK_1116_2001_A","Alaska","2001","365","Alaganik Slough (AK_Val)","AK_1116",""
"50","AK_1116_2002_A","Alaska","2002","365","Alaganik Slough (AK_Val)","AK_1116",""
"51","AK_1116_2003_A","Alaska","2003","365","Alaganik Slough (AK_Val)","AK_1116",""
"52","AK_1116_2004_A","Alaska","2004","366","Alaganik Slough (AK_Val)","AK_1116",""
"53","AK_1116_2005_A","Alaska","2005","365","Alaganik Slough (AK_Val)","AK_1116",""
"54","AK_1116_2006_A","Alaska","2006","365","Alaganik Slough (AK_Val)","AK_1116",""
"55","AK_1116_2007_A","Alaska","2007","365","Alaganik Slough (AK_Val)","AK_1116",""
"56","AK_1116_2008_A","Alaska","2008","366","Alaganik Slough (AK_Val)","AK_1116",""
"57","AK_1116_2009_A","Alaska","2009","365","Alaganik Slough (AK_Val)","AK_1116",""
"58","AK_1116_2010_A","Alaska","2010","365","Alaganik Slough (AK_Val)","AK_1116",""
"59","AK_1116_2011_A","Alaska","2011","365","Alaganik Slough (AK_Val)","AK_1116",""
"60","AK_1116_2012_A","Alaska","2012","366","Alaganik Slough (AK_Val)","AK_1116",""
"61","AK_1116_2013_A","Alaska","2013","365","Alaganik Slough (AK_Val)","AK_1116",""
"62","AK_1116_2014_A","Alaska","2014","365","Alaganik Slough (AK_Val)","AK_1116",""
"63","AK_1116_2015_A","Alaska","2015","365","Alaganik Slough (AK_Val)","AK_1116",""
"64","AK_1116_2016_A","Alaska","2016","366","Alaganik Slough (AK_Val)","AK_1116",""
"65","AK_1116_2017_A","Alaska","2017","365","Alaganik Slough (AK_Val)","AK_1116",""
"66","AK_1116_2018_A","Alaska","2018","365","Alaganik Slough (AK_Val)","AK_1116",""
"67","AK_1353_1996_A","Alaska","1996","366","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"68","AK_1353_1997_A","Alaska","1997","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"69","AK_1353_1998_A","Alaska","1998","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"70","AK_1353_1999_A","Alaska","1999","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"71","AK_1353_2000_A","Alaska","2000","366","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"72","AK_1353_2001_A","Alaska","2001","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"73","AK_1353_2002_A","Alaska","2002","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"74","AK_1353_2003_A","Alaska","2003","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"75","AK_1353_2004_A","Alaska","2004","366","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"76","AK_1353_2005_A","Alaska","2005","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"77","AK_1353_2006_A","Alaska","2006","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"78","AK_1353_2007_A","Alaska","2007","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"79","AK_1353_2008_A","Alaska","2008","366","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"80","AK_1353_2009_A","Alaska","2009","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"81","AK_1353_2010_A","Alaska","2010","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"82","AK_1353_2011_A","Alaska","2011","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"83","AK_1353_2012_A","Alaska","2012","366","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"84","AK_1353_2013_A","Alaska","2013","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"85","AK_1353_2014_A","Alaska","2014","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"86","AK_1353_2015_A","Alaska","2015","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"87","AK_1353_2016_A","Alaska","2016","366","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"88","AK_1353_2017_A","Alaska","2017","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"89","AK_1353_2018_A","Alaska","2018","365","Alagnak (Branch) River drainage (AK_Lak)","AK_1353",""
"90","AK_1436_2005_A","Alaska","2005","365","Alaska Highway stocked lakes (AK_Fai)","AK_1436",""
"91","AK_1436_2010_A","Alaska","2010","365","Alaska Highway stocked lakes (AK_Fai)","AK_1436",""
"92","AK_1436_2011_A","Alaska","2011","365","Alaska Highway stocked lakes (AK_Fai)","AK_1436",""
"93","AK_1344_2005_A","Alaska","2005","365","Alaska Peninsula/Aleutian lakes (AK_Lak)","AK_1344",""
"94","AK_1344_2006_A","Alaska","2006","365","Alaska Peninsula/Aleutian lakes (AK_Lak)","AK_1344",""
"95","AK_1344_2007_A","Alaska","2007","365","Alaska Peninsula/Aleutian lakes (AK_Lak)","AK_1344",""
"96","AK_1344_2008_A","Alaska","2008","366","Alaska Peninsula/Aleutian lakes (AK_Lak)","AK_1344",""
"97","AK_1344_2009_A","Alaska","2009","365","Alaska Peninsula/Aleutian lakes (AK_Lak)","AK_1344",""
"98","AK_1344_2010_A","Alaska","2010","365","Alaska Peninsula/Aleutian lakes (AK_Lak)","AK_1344",""
"99","AK_1344_2011_A","Alaska","2011","365","Alaska Peninsula/Aleutian lakes (AK_Lak)","AK_1344",""
"100","AK_1344_2017_A","Alaska","2017","365","Alaska Peninsula/Aleutian lakes (AK_Lak)","AK_1344",""
"101","AK_1344_2018_A","Alaska","2018","365","Alaska Peninsula/Aleutian lakes (AK_Lak)","AK_1344",""
"102","AK_1375_2005_A","Alaska","2005","365","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"103","AK_1375_2006_A","Alaska","2006","365","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"104","AK_1375_2007_A","Alaska","2007","365","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"105","AK_1375_2008_A","Alaska","2008","366","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"106","AK_1375_2009_A","Alaska","2009","365","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"107","AK_1375_2010_A","Alaska","2010","365","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"108","AK_1375_2011_A","Alaska","2011","365","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"109","AK_1375_2012_A","Alaska","2012","366","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"110","AK_1375_2013_A","Alaska","2013","365","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"111","AK_1375_2014_A","Alaska","2014","365","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"112","AK_1375_2015_A","Alaska","2015","365","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"113","AK_1375_2016_A","Alaska","2016","366","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"114","AK_1375_2017_A","Alaska","2017","365","Aleknagik Lake (Wood River lakes system) (AK_Dil)","AK_1375",""
"115","AK_1221_2002_A","Alaska","2002","365","Alexander Creek (AK_Mat)","AK_1221",""
"116","AK_1221_2003_A","Alaska","2003","365","Alexander Creek (AK_Mat)","AK_1221",""
"117","AK_1221_2004_A","Alaska","2004","366","Alexander Creek (AK_Mat)","AK_1221",""
"118","AK_1221_2005_A","Alaska","2005","365","Alexander Creek (AK_Mat)","AK_1221",""
"119","AK_1221_2006_A","Alaska","2006","365","Alexander Creek (AK_Mat)","AK_1221",""
"120","AK_1221_2007_A","Alaska","2007","365","Alexander Creek (AK_Mat)","AK_1221",""
"121","AK_1221_2009_A","Alaska","2009","365","Alexander Creek (AK_Mat)","AK_1221",""
"122","AK_1219_1996_A","Alaska","1996","366","Alexander Creek/Lake (AK_NA)","AK_1219",""
"123","AK_1219_1997_A","Alaska","1997","365","Alexander Creek/Lake (AK_NA)","AK_1219",""
"124","AK_1219_1998_A","Alaska","1998","365","Alexander Creek/Lake (AK_NA)","AK_1219",""
"125","AK_1219_1999_A","Alaska","1999","365","Alexander Creek/Lake (AK_NA)","AK_1219",""
"126","AK_1219_2000_A","Alaska","2000","366","Alexander Creek/Lake (AK_NA)","AK_1219",""
"127","AK_1219_2001_A","Alaska","2001","365","Alexander Creek/Lake (AK_NA)","AK_1219",""
"128","AK_1222_2002_A","Alaska","2002","365","Alexander Lake (AK_Mat)","AK_1222",""
"129","AK_1222_2003_A","Alaska","2003","365","Alexander Lake (AK_Mat)","AK_1222",""
"130","AK_1222_2004_A","Alaska","2004","366","Alexander Lake (AK_Mat)","AK_1222",""
"131","AK_1222_2005_A","Alaska","2005","365","Alexander Lake (AK_Mat)","AK_1222",""
"132","AK_1222_2009_A","Alaska","2009","365","Alexander Lake (AK_Mat)","AK_1222",""
"133","AK_1222_2010_A","Alaska","2010","365","Alexander Lake (AK_Mat)","AK_1222",""
"134","AK_1339_1996_A","Alaska","1996","366","American Creek (AK_Lak)","AK_1339",""
"135","AK_1339_1997_A","Alaska","1997","365","American Creek (AK_Lak)","AK_1339",""
"136","AK_1339_1998_A","Alaska","1998","365","American Creek (AK_Lak)","AK_1339",""
"137","AK_1339_1999_A","Alaska","1999","365","American Creek (AK_Lak)","AK_1339",""
"138","AK_1339_2000_A","Alaska","2000","366","American Creek (AK_Lak)","AK_1339",""
"139","AK_1339_2004_A","Alaska","2004","366","American Creek (AK_Lak)","AK_1339",""
"140","AK_1339_2005_A","Alaska","2005","365","American Creek (AK_Lak)","AK_1339",""
"141","AK_1339_2006_A","Alaska","2006","365","American Creek (AK_Lak)","AK_1339",""
"142","AK_1339_2007_A","Alaska","2007","365","American Creek (AK_Lak)","AK_1339",""
"143","AK_1339_2008_A","Alaska","2008","366","American Creek (AK_Lak)","AK_1339",""
"144","AK_1339_2009_A","Alaska","2009","365","American Creek (AK_Lak)","AK_1339",""
"145","AK_1339_2010_A","Alaska","2010","365","American Creek (AK_Lak)","AK_1339",""
"146","AK_1339_2011_A","Alaska","2011","365","American Creek (AK_Lak)","AK_1339",""
"147","AK_1339_2012_A","Alaska","2012","366","American Creek (AK_Lak)","AK_1339",""
"148","AK_1339_2013_A","Alaska","2013","365","American Creek (AK_Lak)","AK_1339",""
"149","AK_1339_2014_A","Alaska","2014","365","American Creek (AK_Lak)","AK_1339",""
"150","AK_1339_2015_A","Alaska","2015","365","American Creek (AK_Lak)","AK_1339",""
"151","AK_1339_2016_A","Alaska","2016","366","American Creek (AK_Lak)","AK_1339",""
"152","AK_1339_2017_A","Alaska","2017","365","American Creek (AK_Lak)","AK_1339",""
"153","AK_1339_2018_A","Alaska","2018","365","American Creek (AK_Lak)","AK_1339",""
"154","AK_1311_1996_A","Alaska","1996","366","American River (AK_Kod)","AK_1311",""
"155","AK_1311_1997_A","Alaska","1997","365","American River (AK_Kod)","AK_1311",""
"156","AK_1311_1998_A","Alaska","1998","365","American River (AK_Kod)","AK_1311",""
"157","AK_1311_1999_A","Alaska","1999","365","American River (AK_Kod)","AK_1311",""
"158","AK_1311_2000_A","Alaska","2000","366","American River (AK_Kod)","AK_1311",""
"159","AK_1311_2001_A","Alaska","2001","365","American River (AK_Kod)","AK_1311",""
"160","AK_1311_2002_A","Alaska","2002","365","American River (AK_Kod)","AK_1311",""
"161","AK_1311_2003_A","Alaska","2003","365","American River (AK_Kod)","AK_1311",""
"162","AK_1311_2004_A","Alaska","2004","366","American River (AK_Kod)","AK_1311",""
"163","AK_1311_2005_A","Alaska","2005","365","American River (AK_Kod)","AK_1311",""
"164","AK_1311_2006_A","Alaska","2006","365","American River (AK_Kod)","AK_1311",""
"165","AK_1311_2007_A","Alaska","2007","365","American River (AK_Kod)","AK_1311",""
"166","AK_1311_2008_A","Alaska","2008","366","American River (AK_Kod)","AK_1311",""
"167","AK_1311_2009_A","Alaska","2009","365","American River (AK_Kod)","AK_1311",""
"168","AK_1311_2010_A","Alaska","2010","365","American River (AK_Kod)","AK_1311",""
"169","AK_1311_2011_A","Alaska","2011","365","American River (AK_Kod)","AK_1311",""
"170","AK_1311_2012_A","Alaska","2012","366","American River (AK_Kod)","AK_1311",""
"171","AK_1311_2013_A","Alaska","2013","365","American River (AK_Kod)","AK_1311",""
"172","AK_1311_2014_A","Alaska","2014","365","American River (AK_Kod)","AK_1311",""
"173","AK_1311_2015_A","Alaska","2015","365","American River (AK_Kod)","AK_1311",""
"174","AK_1311_2016_A","Alaska","2016","366","American River (AK_Kod)","AK_1311",""
"175","AK_1311_2017_A","Alaska","2017","365","American River (AK_Kod)","AK_1311",""
"176","AK_1311_2018_A","Alaska","2018","365","American River (AK_Kod)","AK_1311",""
"177","AK_1261_1996_A","Alaska","1996","366","Anchor River (AK_Ken)","AK_1261",""
"178","AK_1261_1997_A","Alaska","1997","365","Anchor River (AK_Ken)","AK_1261",""
"179","AK_1261_1998_A","Alaska","1998","365","Anchor River (AK_Ken)","AK_1261",""
"180","AK_1261_1999_A","Alaska","1999","365","Anchor River (AK_Ken)","AK_1261",""
"181","AK_1261_2000_A","Alaska","2000","366","Anchor River (AK_Ken)","AK_1261",""
"182","AK_1261_2001_A","Alaska","2001","365","Anchor River (AK_Ken)","AK_1261",""
"183","AK_1261_2002_A","Alaska","2002","365","Anchor River (AK_Ken)","AK_1261",""
"184","AK_1261_2003_A","Alaska","2003","365","Anchor River (AK_Ken)","AK_1261",""
"185","AK_1261_2004_A","Alaska","2004","366","Anchor River (AK_Ken)","AK_1261",""
"186","AK_1261_2005_A","Alaska","2005","365","Anchor River (AK_Ken)","AK_1261",""
"187","AK_1261_2006_A","Alaska","2006","365","Anchor River (AK_Ken)","AK_1261",""
"188","AK_1261_2007_A","Alaska","2007","365","Anchor River (AK_Ken)","AK_1261",""
"189","AK_1261_2008_A","Alaska","2008","366","Anchor River (AK_Ken)","AK_1261",""
"190","AK_1261_2009_A","Alaska","2009","365","Anchor River (AK_Ken)","AK_1261",""
"191","AK_1261_2010_A","Alaska","2010","365","Anchor River (AK_Ken)","AK_1261",""
"192","AK_1261_2011_A","Alaska","2011","365","Anchor River (AK_Ken)","AK_1261",""
"193","AK_1261_2012_A","Alaska","2012","366","Anchor River (AK_Ken)","AK_1261",""
"194","AK_1261_2013_A","Alaska","2013","365","Anchor River (AK_Ken)","AK_1261",""
"195","AK_1261_2014_A","Alaska","2014","365","Anchor River (AK_Ken)","AK_1261",""
"196","AK_1261_2015_A","Alaska","2015","365","Anchor River (AK_Ken)","AK_1261",""
"197","AK_1261_2016_A","Alaska","2016","366","Anchor River (AK_Ken)","AK_1261",""
"198","AK_1261_2017_A","Alaska","2017","365","Anchor River (AK_Ken)","AK_1261",""
"199","AK_1261_2018_A","Alaska","2018","365","Anchor River (AK_Ken)","AK_1261",""
"200","AK_1443_1996_A","Alaska","1996","366","Aniak River (AK_Bet)","AK_1443",""
"201","AK_1443_1997_A","Alaska","1997","365","Aniak River (AK_Bet)","AK_1443",""
"202","AK_1443_1998_A","Alaska","1998","365","Aniak River (AK_Bet)","AK_1443",""
"203","AK_1443_1999_A","Alaska","1999","365","Aniak River (AK_Bet)","AK_1443",""
"204","AK_1443_2000_A","Alaska","2000","366","Aniak River (AK_Bet)","AK_1443",""
"205","AK_1443_2001_A","Alaska","2001","365","Aniak River (AK_Bet)","AK_1443",""
"206","AK_1443_2002_A","Alaska","2002","365","Aniak River (AK_Bet)","AK_1443",""
"207","AK_1443_2003_A","Alaska","2003","365","Aniak River (AK_Bet)","AK_1443",""
"208","AK_1443_2004_A","Alaska","2004","366","Aniak River (AK_Bet)","AK_1443",""
"209","AK_1443_2005_A","Alaska","2005","365","Aniak River (AK_Bet)","AK_1443",""
"210","AK_1443_2006_A","Alaska","2006","365","Aniak River (AK_Bet)","AK_1443",""
"211","AK_1443_2007_A","Alaska","2007","365","Aniak River (AK_Bet)","AK_1443",""
"212","AK_1443_2008_A","Alaska","2008","366","Aniak River (AK_Bet)","AK_1443",""
"213","AK_1443_2009_A","Alaska","2009","365","Aniak River (AK_Bet)","AK_1443",""
"214","AK_1443_2010_A","Alaska","2010","365","Aniak River (AK_Bet)","AK_1443",""
"215","AK_1443_2011_A","Alaska","2011","365","Aniak River (AK_Bet)","AK_1443",""
"216","AK_1443_2012_A","Alaska","2012","366","Aniak River (AK_Bet)","AK_1443",""
"217","AK_1443_2013_A","Alaska","2013","365","Aniak River (AK_Bet)","AK_1443",""
"218","AK_1443_2015_A","Alaska","2015","365","Aniak River (AK_Bet)","AK_1443",""
"219","AK_1083_1996_A","Alaska","1996","366","Ankau River and Lagoon (AK_Yak)","AK_1083",""
"220","AK_1083_1997_A","Alaska","1997","365","Ankau River and Lagoon (AK_Yak)","AK_1083",""
"221","AK_1083_1998_A","Alaska","1998","365","Ankau River and Lagoon (AK_Yak)","AK_1083",""
"222","AK_1083_1999_A","Alaska","1999","365","Ankau River and Lagoon (AK_Yak)","AK_1083",""
"223","AK_1486_2003_A","Alaska","2003","365","Anvik River (AK_Yuk)","AK_1486",""
"224","AK_1486_2010_A","Alaska","2010","365","Anvik River (AK_Yuk)","AK_1486",""
"225","AK_1486_2013_A","Alaska","2013","365","Anvik River (AK_Yuk)","AK_1486",""
"226","AK_1486_2014_A","Alaska","2014","365","Anvik River (AK_Yuk)","AK_1486",""
"227","AK_1447_2011_A","Alaska","2011","365","Arolik River drainage (AK_Bet)","AK_1447",""
"228","AK_1447_2012_A","Alaska","2012","366","Arolik River drainage (AK_Bet)","AK_1447",""
"229","AK_1316_1996_A","Alaska","1996","366","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"230","AK_1316_1997_A","Alaska","1997","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"231","AK_1316_1998_A","Alaska","1998","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"232","AK_1316_1999_A","Alaska","1999","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"233","AK_1316_2000_A","Alaska","2000","366","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"234","AK_1316_2001_A","Alaska","2001","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"235","AK_1316_2002_A","Alaska","2002","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"236","AK_1316_2003_A","Alaska","2003","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"237","AK_1316_2004_A","Alaska","2004","366","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"238","AK_1316_2005_A","Alaska","2005","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"239","AK_1316_2006_A","Alaska","2006","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"240","AK_1316_2007_A","Alaska","2007","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"241","AK_1316_2008_A","Alaska","2008","366","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"242","AK_1316_2009_A","Alaska","2009","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"243","AK_1316_2010_A","Alaska","2010","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"244","AK_1316_2014_A","Alaska","2014","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"245","AK_1316_2018_A","Alaska","2018","365","Ayakulik River (Red River) (AK_Kod)","AK_1316",""
"246","AK_1428_2000_A","Alaska","2000","366","Ballaine Lake (AK_Fai)","AK_1428",""
"247","AK_1428_2001_A","Alaska","2001","365","Ballaine Lake (AK_Fai)","AK_1428",""
"248","AK_1037_2009_A","Alaska","2009","365","Baranof Island streams and lakes (AK_Sit)","AK_1037",""
"249","AK_1037_2010_A","Alaska","2010","365","Baranof Island streams and lakes (AK_Sit)","AK_1037",""
"250","AK_1037_2011_A","Alaska","2011","365","Baranof Island streams and lakes (AK_Sit)","AK_1037",""
"251","AK_1037_2012_A","Alaska","2012","366","Baranof Island streams and lakes (AK_Sit)","AK_1037",""
"252","AK_1037_2013_A","Alaska","2013","365","Baranof Island streams and lakes (AK_Sit)","AK_1037",""
"253","AK_1037_2014_A","Alaska","2014","365","Baranof Island streams and lakes (AK_Sit)","AK_1037",""
"254","AK_1037_2015_A","Alaska","2015","365","Baranof Island streams and lakes (AK_Sit)","AK_1037",""
"255","AK_1037_2016_A","Alaska","2016","366","Baranof Island streams and lakes (AK_Sit)","AK_1037",""
"256","AK_1037_2017_A","Alaska","2017","365","Baranof Island streams and lakes (AK_Sit)","AK_1037",""
"257","AK_1037_2018_A","Alaska","2018","365","Baranof Island streams and lakes (AK_Sit)","AK_1037",""
"258","AK_1036_1996_A","Alaska","1996","366","Baranof system (AK_Sit)","AK_1036",""
"259","AK_1036_1997_A","Alaska","1997","365","Baranof system (AK_Sit)","AK_1036",""
"260","AK_1036_1998_A","Alaska","1998","365","Baranof system (AK_Sit)","AK_1036",""
"261","AK_1036_1999_A","Alaska","1999","365","Baranof system (AK_Sit)","AK_1036",""
"262","AK_1036_2000_A","Alaska","2000","366","Baranof system (AK_Sit)","AK_1036",""
"263","AK_1036_2001_A","Alaska","2001","365","Baranof system (AK_Sit)","AK_1036",""
"264","AK_1036_2002_A","Alaska","2002","365","Baranof system (AK_Sit)","AK_1036",""
"265","AK_1036_2006_A","Alaska","2006","365","Baranof system (AK_Sit)","AK_1036",""
"266","AK_1067_1997_A","Alaska","1997","365","Bartlett River (AK_Hoo)","AK_1067",""
"267","AK_1067_2000_A","Alaska","2000","366","Bartlett River (AK_Hoo)","AK_1067",""
"268","AK_1067_2001_A","Alaska","2001","365","Bartlett River (AK_Hoo)","AK_1067",""
"269","AK_1067_2005_A","Alaska","2005","365","Bartlett River (AK_Hoo)","AK_1067",""
"270","AK_1067_2006_A","Alaska","2006","365","Bartlett River (AK_Hoo)","AK_1067",""
"271","AK_1067_2009_A","Alaska","2009","365","Bartlett River (AK_Hoo)","AK_1067",""
"272","AK_1067_2013_A","Alaska","2013","365","Bartlett River (AK_Hoo)","AK_1067",""
"273","AK_1067_2014_A","Alaska","2014","365","Bartlett River (AK_Hoo)","AK_1067",""
"274","AK_1407_1996_A","Alaska","1996","366","Bathing Beauty Pond (AK_Fai)","AK_1407",""
"275","AK_1407_1999_A","Alaska","1999","365","Bathing Beauty Pond (AK_Fai)","AK_1407",""
"276","AK_1407_2000_A","Alaska","2000","366","Bathing Beauty Pond (AK_Fai)","AK_1407",""
